
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :12/10/2015
Analyst: Jacob                                                       Model revision date:12/10/2015

Replication ended at time      : 180.0 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Table 12.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 12.Utilization                        .34118     (Insuf)    .00000     1.0000     1.0000    
Table 13.NumberBusy                         .68317     (Insuf)    .00000     1.0000     1.0000    
Table 13.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 13.Utilization                        .68317     (Insuf)    .00000     1.0000     1.0000    
Table 14.NumberBusy                         .53358     (Insuf)    .00000     1.0000     1.0000    
Table 14.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 14.Utilization                        .53358     (Insuf)    .00000     1.0000     1.0000    
Table 15.NumberBusy                         .46188     (Insuf)    .00000     1.0000     1.0000    
Table 15.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 15.Utilization                        .46188     (Insuf)    .00000     1.0000     1.0000    
Table 16.NumberBusy                         .27130     (Insuf)    .00000     1.0000     .00000    
Table 16.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 16.Utilization                        .27130     (Insuf)    .00000     1.0000     .00000    
Table 17.NumberBusy                         .30293     (Insuf)    .00000     1.0000     .00000    
Table 17.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 17.Utilization                        .30293     (Insuf)    .00000     1.0000     .00000    
Table 18.NumberBusy                         .35476     (Insuf)    .00000     1.0000     .00000    
Table 18.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 18.Utilization                        .35476     (Insuf)    .00000     1.0000     .00000    
Table 1.NumberBusy                          .46576     (Insuf)    .00000     1.0000     1.0000    
Table 1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 1.Utilization                         .46576     (Insuf)    .00000     1.0000     1.0000    
Table 19.NumberBusy                         .41413     (Insuf)    .00000     1.0000     1.0000    
Table 19.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 19.Utilization                        .41413     (Insuf)    .00000     1.0000     1.0000    
Table 2.NumberBusy                          .01776     (Insuf)    .00000     1.0000     .00000    
Table 2.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 2.Utilization                         .01776     (Insuf)    .00000     1.0000     .00000    
Table 3.NumberBusy                          .08514     (Insuf)    .00000     1.0000     .00000    
Table 3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 3.Utilization                         .08514     (Insuf)    .00000     1.0000     .00000    
Table 4.NumberBusy                          .44202     (Insuf)    .00000     1.0000     .00000    
Table 4.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 4.Utilization                         .44202     (Insuf)    .00000     1.0000     .00000    
Table 5.NumberBusy                          .01035     (Insuf)    .00000     1.0000     .00000    
Table 5.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 5.Utilization                         .01035     (Insuf)    .00000     1.0000     .00000    
Table 6.NumberBusy                          .20777     (Insuf)    .00000     1.0000     1.0000    
Table 6.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 6.Utilization                         .20777     (Insuf)    .00000     1.0000     1.0000    
Table 7.NumberBusy                          .47144     (Insuf)    .00000     1.0000     1.0000    
Table 7.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 7.Utilization                         .47144     (Insuf)    .00000     1.0000     1.0000    
Table 8.NumberBusy                          .35943     (Insuf)    .00000     1.0000     .00000    
Table 8.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 8.Utilization                         .35943     (Insuf)    .00000     1.0000     .00000    
Table 9.NumberBusy                          .13158     (Insuf)    .00000     1.0000     .00000    
Table 9.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 9.Utilization                         .13158     (Insuf)    .00000     1.0000     .00000    
Barista.NumberBusy                          .57232     (Insuf)    .00000     1.0000     .00000    
Barista.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Barista.Utilization                         .57232     (Insuf)    .00000     1.0000     .00000    
Table 20.NumberBusy                         .03135     (Insuf)    .00000     1.0000     .00000    
Table 20.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 20.Utilization                        .03135     (Insuf)    .00000     1.0000     .00000    
Table 21.NumberBusy                         .07550     (Insuf)    .00000     1.0000     .00000    
Table 21.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 21.Utilization                        .07550     (Insuf)    .00000     1.0000     .00000    
Table 22.NumberBusy                         .29331     (Insuf)    .00000     1.0000     .00000    
Table 22.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 22.Utilization                        .29331     (Insuf)    .00000     1.0000     .00000    
Table 23.NumberBusy                         .15975     (Insuf)    .00000     1.0000     .00000    
Table 23.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 23.Utilization                        .15975     (Insuf)    .00000     1.0000     .00000    
Table 24.NumberBusy                         .00680     (Insuf)    .00000     1.0000     .00000    
Table 24.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 24.Utilization                        .00680     (Insuf)    .00000     1.0000     .00000    
Table 25.NumberBusy                         .00000     (Insuf)    .00000     .00000     .00000    
Table 25.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 25.Utilization                        .00000     (Insuf)    .00000     .00000     .00000    
Table 26.NumberBusy                         .44439     (Insuf)    .00000     1.0000     .00000    
Table 26.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 26.Utilization                        .44439     (Insuf)    .00000     1.0000     .00000    
Table 27.NumberBusy                         .32043     (Insuf)    .00000     1.0000     1.0000    
Table 27.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 27.Utilization                        .32043     (Insuf)    .00000     1.0000     1.0000    
Table 28.NumberBusy                         .58450     (Insuf)    .00000     1.0000     1.0000    
Table 28.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 28.Utilization                        .58450     (Insuf)    .00000     1.0000     1.0000    
Table 29.NumberBusy                         .70684     (Insuf)    .00000     1.0000     .00000    
Table 29.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 29.Utilization                        .70684     (Insuf)    .00000     1.0000     .00000    
Table 30.NumberBusy                         .19075     (Insuf)    .00000     1.0000     1.0000    
Table 30.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 30.Utilization                        .19075     (Insuf)    .00000     1.0000     1.0000    
Table 31.NumberBusy                         .27272     (Insuf)    .00000     1.0000     1.0000    
Table 31.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 31.Utilization                        .27272     (Insuf)    .00000     1.0000     1.0000    
Table 32.NumberBusy                         .37119     (Insuf)    .00000     1.0000     .00000    
Table 32.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 32.Utilization                        .37119     (Insuf)    .00000     1.0000     .00000    
Table 33.NumberBusy                         .19861     (Insuf)    .00000     1.0000     .00000    
Table 33.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 33.Utilization                        .19861     (Insuf)    .00000     1.0000     .00000    
Table 34.NumberBusy                         .15133     (Insuf)    .00000     1.0000     .00000    
Table 34.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 34.Utilization                        .15133     (Insuf)    .00000     1.0000     .00000    
Table 35.NumberBusy                         .30600     (Insuf)    .00000     1.0000     .00000    
Table 35.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 35.Utilization                        .30600     (Insuf)    .00000     1.0000     .00000    
Table 36.NumberBusy                         .27962     (Insuf)    .00000     1.0000     .00000    
Table 36.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 36.Utilization                        .27962     (Insuf)    .00000     1.0000     .00000    
Table 37.NumberBusy                         .31832     (Insuf)    .00000     1.0000     1.0000    
Table 37.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 37.Utilization                        .31832     (Insuf)    .00000     1.0000     1.0000    
Table 38.NumberBusy                         .31103     (Insuf)    .00000     1.0000     1.0000    
Table 38.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 38.Utilization                        .31103     (Insuf)    .00000     1.0000     1.0000    
Table 39.NumberBusy                         .01947     (Insuf)    .00000     1.0000     .00000    
Table 39.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 39.Utilization                        .01947     (Insuf)    .00000     1.0000     .00000    
Table 40.NumberBusy                         .15982     (Insuf)    .00000     1.0000     .00000    
Table 40.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 40.Utilization                        .15982     (Insuf)    .00000     1.0000     .00000    
Table 41.NumberBusy                         .31616     (Insuf)    .00000     1.0000     1.0000    
Table 41.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 41.Utilization                        .31616     (Insuf)    .00000     1.0000     1.0000    
Table 42.NumberBusy                         .38491     (Insuf)    .00000     1.0000     1.0000    
Table 42.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 42.Utilization                        .38491     (Insuf)    .00000     1.0000     1.0000    
Table 43.NumberBusy                         .21105     (Insuf)    .00000     1.0000     1.0000    
Table 43.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 43.Utilization                        .21105     (Insuf)    .00000     1.0000     1.0000    
Table 44.NumberBusy                         .19255     (Insuf)    .00000     1.0000     1.0000    
Table 44.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 44.Utilization                        .19255     (Insuf)    .00000     1.0000     1.0000    
Table 45.NumberBusy                         .18898     (Insuf)    .00000     1.0000     .00000    
Table 45.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 45.Utilization                        .18898     (Insuf)    .00000     1.0000     .00000    
Table 46.NumberBusy                         .10793     (Insuf)    .00000     1.0000     .00000    
Table 46.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 46.Utilization                        .10793     (Insuf)    .00000     1.0000     .00000    
Table 47.NumberBusy                         .56882     (Insuf)    .00000     1.0000     1.0000    
Table 47.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 47.Utilization                        .56882     (Insuf)    .00000     1.0000     1.0000    
Table 48.NumberBusy                         .13619     (Insuf)    .00000     1.0000     .00000    
Table 48.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 48.Utilization                        .13619     (Insuf)    .00000     1.0000     .00000    
Table 49.NumberBusy                         .58790     (Insuf)    .00000     1.0000     .00000    
Table 49.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 49.Utilization                        .58790     (Insuf)    .00000     1.0000     .00000    
Table 50.NumberBusy                         .55043     (Insuf)    .00000     1.0000     .00000    
Table 50.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 50.Utilization                        .55043     (Insuf)    .00000     1.0000     .00000    
Jacob.NumberBusy                            .23383     (Insuf)    .00000     1.0000     .00000    
Jacob.NumberScheduled                       1.0000     (Insuf)    1.0000     1.0000     1.0000    
Jacob.Utilization                           .23383     (Insuf)    .00000     1.0000     .00000    
Bar Cash.NumberBusy                         .00000     (Insuf)    .00000     .00000     .00000    
Bar Cash.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Bar Cash.Utilization                        .00000     (Insuf)    .00000     .00000     .00000    
Mikki.NumberBusy                            .00000     (Insuf)    .00000     .00000     .00000    
Mikki.NumberScheduled                       1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mikki.Utilization                           .00000     (Insuf)    .00000     .00000     .00000    
Lynice.NumberBusy                           .00000     (Insuf)    .00000     .00000     .00000    
Lynice.NumberScheduled                      1.0000     (Insuf)    1.0000     1.0000     1.0000    
Lynice.Utilization                          .00000     (Insuf)    .00000     .00000     .00000    
Cash Out.Queue.NumberInQueue                .21957     (Insuf)    .00000     2.0000     .00000    
Dining Process.Queue.NumberInQueue          .00000     (Insuf)    .00000     .00000     .00000    
Food Service Time.Queue.NumberInQueue       .07596     (Insuf)    .00000     4.0000     .00000    
Cash Register.Queue.NumberInQueue           .03731     (Insuf)    .00000     2.0000     .00000    
Special Order.Queue.NumberInQueue           .12725     (Insuf)    .00000     3.0000     .00000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Customer.NumberIn                           202.00    
Customer.NumberOut                          178.00    
Gold Fish.NumberIn                          25.000    
Gold Fish.NumberOut                         .00000    
Cook.NumberIn                               60.000    
Cook.NumberOut                              60.000    
Wade.NumberSeized                           69.000    
Wade.ScheduledUtilization                   .24337    
Tommie.NumberSeized                         94.000    
Tommie.ScheduledUtilization                 .23350    
Table 10.NumberSeized                       3.0000    
Table 10.ScheduledUtilization               .61216    
Table 11.NumberSeized                       6.0000    
Table 11.ScheduledUtilization               .26287    
Table 12.NumberSeized                       4.0000    
Table 12.ScheduledUtilization               .34118    
Table 13.NumberSeized                       3.0000    
Table 13.ScheduledUtilization               .68317    
Table 14.NumberSeized                       3.0000    
Table 14.ScheduledUtilization               .53358    
Table 15.NumberSeized                       3.0000    
Table 15.ScheduledUtilization               .46188    
Table 16.NumberSeized                       2.0000    
Table 16.ScheduledUtilization               .27130    
Table 17.NumberSeized                       4.0000    
Table 17.ScheduledUtilization               .30293    
Table 18.NumberSeized                       4.0000    
Table 18.ScheduledUtilization               .35476    
Table 1.NumberSeized                        7.0000    
Table 1.ScheduledUtilization                .46576    
Table 19.NumberSeized                       5.0000    
Table 19.ScheduledUtilization               .41413    
Table 2.NumberSeized                        2.0000    
Table 2.ScheduledUtilization                .01776    
Table 3.NumberSeized                        2.0000    
Table 3.ScheduledUtilization                .08514    
Table 4.NumberSeized                        4.0000    
Table 4.ScheduledUtilization                .44202    
Table 5.NumberSeized                        1.0000    
Table 5.ScheduledUtilization                .01035    
Table 6.NumberSeized                        6.0000    
Table 6.ScheduledUtilization                .20777    
Table 7.NumberSeized                        2.0000    
Table 7.ScheduledUtilization                .47144    
Table 8.NumberSeized                        5.0000    
Table 8.ScheduledUtilization                .35943    
Table 9.NumberSeized                        2.0000    
Table 9.ScheduledUtilization                .13158    
Barista.NumberSeized                        116.00    
Barista.ScheduledUtilization                .57232    
Table 20.NumberSeized                       3.0000    
Table 20.ScheduledUtilization               .03135    
Table 21.NumberSeized                       2.0000    
Table 21.ScheduledUtilization               .07550    
Table 22.NumberSeized                       2.0000    
Table 22.ScheduledUtilization               .29331    
Table 23.NumberSeized                       2.0000    
Table 23.ScheduledUtilization               .15975    
Table 24.NumberSeized                       1.0000    
Table 24.ScheduledUtilization               .00680    
Table 25.NumberSeized                       .00000    
Table 25.ScheduledUtilization               .00000    
Table 26.NumberSeized                       4.0000    
Table 26.ScheduledUtilization               .44439    
Table 27.NumberSeized                       4.0000    
Table 27.ScheduledUtilization               .32043    
Table 28.NumberSeized                       3.0000    
Table 28.ScheduledUtilization               .58450    
Table 29.NumberSeized                       4.0000    
Table 29.ScheduledUtilization               .70684    
Table 30.NumberSeized                       2.0000    
Table 30.ScheduledUtilization               .19075    
Table 31.NumberSeized                       6.0000    
Table 31.ScheduledUtilization               .27272    
Table 32.NumberSeized                       3.0000    
Table 32.ScheduledUtilization               .37119    
Table 33.NumberSeized                       4.0000    
Table 33.ScheduledUtilization               .19861    
Table 34.NumberSeized                       2.0000    
Table 34.ScheduledUtilization               .15133    
Table 35.NumberSeized                       4.0000    
Table 35.ScheduledUtilization               .30600    
Table 36.NumberSeized                       2.0000    
Table 36.ScheduledUtilization               .27962    
Table 37.NumberSeized                       5.0000    
Table 37.ScheduledUtilization               .31832    
Table 38.NumberSeized                       3.0000    
Table 38.ScheduledUtilization               .31103    
Table 39.NumberSeized                       2.0000    
Table 39.ScheduledUtilization               .01947    
Table 40.NumberSeized                       1.0000    
Table 40.ScheduledUtilization               .15982    
Table 41.NumberSeized                       5.0000    
Table 41.ScheduledUtilization               .31616    
Table 42.NumberSeized                       2.0000    
Table 42.ScheduledUtilization               .38491    
Table 43.NumberSeized                       2.0000    
Table 43.ScheduledUtilization               .21105    
Table 44.NumberSeized                       3.0000    
Table 44.ScheduledUtilization               .19255    
Table 45.NumberSeized                       4.0000    
Table 45.ScheduledUtilization               .18898    
Table 46.NumberSeized                       2.0000    
Table 46.ScheduledUtilization               .10793    
Table 47.NumberSeized                       4.0000    
Table 47.ScheduledUtilization               .56882    
Table 48.NumberSeized                       1.0000    
Table 48.ScheduledUtilization               .13619    
Table 49.NumberSeized                       4.0000    
Table 49.ScheduledUtilization               .58790    
Table 50.NumberSeized                       3.0000    
Table 50.ScheduledUtilization               .55043    
Jacob.NumberSeized                          99.000    
Jacob.ScheduledUtilization                  .23383    
Bar Cash.NumberSeized                       .00000    
Bar Cash.ScheduledUtilization               .00000    
Mikki.NumberSeized                          .00000    
Mikki.ScheduledUtilization                  .00000    
Lynice.NumberSeized                         .00000    
Lynice.ScheduledUtilization                 .00000    
System.NumberOut                            238.00    

Beginning replication 2 of 20

                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 2 of 20

Project: Unnamed Project                                             Run execution date :12/10/2015
Analyst: Jacob                                                       Model revision date:12/10/2015

Replication ended at time      : 180.0 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Customer.VATime                             15.893     (Insuf)    .00000     96.572        151    
Customer.NVATime                            .00000     (Insuf)    .00000     .00000        151    
Customer.WaitTime                           .88663     (Insuf)    .00000     5.1804        151    
Customer.TranTime                           3.5582     (Insuf)    1.5000     5.5000        151    
Customer.OtherTime                          .00000     (Insuf)    .00000     .00000        151    
Customer.TotalTime                          20.338     (Insuf)    2.3142     100.52        151    
Gold Fish.VATime                                --         --         --         --          0
Gold Fish.NVATime                               --         --         --         --          0
Gold Fish.WaitTime                              --         --         --         --          0
Gold Fish.TranTime                              --         --         --         --          0
Gold Fish.OtherTime                             --         --         --         --          0
Gold Fish.TotalTime                             --         --         --         --          0
Cook.VATime                                 .02353     (Insuf)    .00000     1.0000         85    
Cook.NVATime                                .00000     (Insuf)    .00000     .00000         85    
Cook.WaitTime                               .00000     (Insuf)    .00000     .00000         85    
Cook.TranTime                               .00000     (Insuf)    .00000     .00000         85    
Cook.OtherTime                              .00000     (Insuf)    .00000     .00000         85    
Cook.TotalTime                              .02353     (Insuf)    .00000     1.0000         85    
Cash Out.Queue.WaitingTime                  1.2222     (Insuf)    .00000     4.4414         57    
Dining Process.Queue.WaitingTime            .00000     (Insuf)    .00000     .00000        143    
Food Service Time.Queue.WaitingTime         .02019     (Insuf)    .00000     .47740        147    
Cash Register.Queue.WaitingTime             .08887     (Insuf)    .00000     .74216         41    
Special Order.Queue.WaitingTime             1.1155     (Insuf)    .00000     5.0703         63    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Customer.WIP                                20.434     (Corr)     .00000     35.000     28.000    
Gold Fish.WIP                               22.940     (Insuf)    .00000     25.000     25.000    
Cook.WIP                                    .01111     (Insuf)    .00000     2.0000     .00000    
Wade.NumberBusy                             .13828     (Insuf)    .00000     1.0000     .00000    
Wade.NumberScheduled                        1.0000     (Insuf)    1.0000     1.0000     1.0000    
Wade.Utilization                            .13828     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberBusy                           .17208     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberScheduled                      1.0000     (Insuf)    1.0000     1.0000     1.0000    
Tommie.Utilization                          .17208     (Insuf)    .00000     1.0000     .00000    
Table 10.NumberBusy                         .42781     (Insuf)    .00000     1.0000     1.0000    
Table 10.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 10.Utilization                        .42781     (Insuf)    .00000     1.0000     1.0000    
Table 11.NumberBusy                         .64622     (Insuf)    .00000     1.0000     1.0000    
Table 11.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 11.Utilization                        .64622     (Insuf)    .00000     1.0000     1.0000    
Table 12.NumberBusy                         .32572     (Insuf)    .00000     1.0000     .00000    
Table 12.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 12.Utilization                        .32572     (Insuf)    .00000     1.0000     .00000    
Table 13.NumberBusy                         .24641     (Insuf)    .00000     1.0000     1.0000    
Table 13.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 13.Utilization                        .24641     (Insuf)    .00000     1.0000     1.0000    
Table 14.NumberBusy                         .40885     (Insuf)    .00000     1.0000     1.0000    
Table 14.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 14.Utilization                        .40885     (Insuf)    .00000     1.0000     1.0000    
Table 15.NumberBusy                         .53530     (Insuf)    .00000     1.0000     1.0000    
Table 15.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 15.Utilization                        .53530     (Insuf)    .00000     1.0000     1.0000    
Table 16.NumberBusy                         .47390     (Insuf)    .00000     1.0000     .00000    
Table 16.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 16.Utilization                        .47390     (Insuf)    .00000     1.0000     .00000    
Table 17.NumberBusy                         .25678     (Insuf)    .00000     1.0000     1.0000    
Table 17.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 17.Utilization                        .25678     (Insuf)    .00000     1.0000     1.0000    
Table 18.NumberBusy                         .22128     (Insuf)    .00000     1.0000     .00000    
Table 18.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 18.Utilization                        .22128     (Insuf)    .00000     1.0000     .00000    
Table 1.NumberBusy                          .14943     (Insuf)    .00000     1.0000     1.0000    
Table 1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 1.Utilization                         .14943     (Insuf)    .00000     1.0000     1.0000    
Table 19.NumberBusy                         .26338     (Insuf)    .00000     1.0000     .00000    
Table 19.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 19.Utilization                        .26338     (Insuf)    .00000     1.0000     .00000    
Table 2.NumberBusy                          .49331     (Insuf)    .00000     1.0000     1.0000    
Table 2.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 2.Utilization                         .49331     (Insuf)    .00000     1.0000     1.0000    
Table 3.NumberBusy                          .34937     (Insuf)    .00000     1.0000     1.0000    
Table 3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 3.Utilization                         .34937     (Insuf)    .00000     1.0000     1.0000    
Table 4.NumberBusy                          .48346     (Insuf)    .00000     1.0000     1.0000    
Table 4.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 4.Utilization                         .48346     (Insuf)    .00000     1.0000     1.0000    
Table 5.NumberBusy                          .21040     (Insuf)    .00000     1.0000     1.0000    
Table 5.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 5.Utilization                         .21040     (Insuf)    .00000     1.0000     1.0000    
Table 6.NumberBusy                          .23943     (Insuf)    .00000     1.0000     .00000    
Table 6.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 6.Utilization                         .23943     (Insuf)    .00000     1.0000     .00000    
Table 7.NumberBusy                          .31452     (Insuf)    .00000     1.0000     .00000    
Table 7.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 7.Utilization                         .31452     (Insuf)    .00000     1.0000     .00000    
Table 8.NumberBusy                          .23469     (Insuf)    .00000     1.0000     .00000    
Table 8.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 8.Utilization                         .23469     (Insuf)    .00000     1.0000     .00000    
Table 9.NumberBusy                          .17293     (Insuf)    .00000     1.0000     .00000    
